province,party,months_before,cpi_category,vote_share_2019,vote_share_2021,delta_vote_share,cpi_change
New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,8.850000

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.125000

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,8.208333

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.466667

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,8.437500

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.3237442984,0.3211294369,-0.0026148615,6.500000

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.3237442984,0.3211294369,-0.0026148615,8.300000

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.3237442984,0.3211294369,-0.0026148615,5.616667

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.3237442984,0.3211294369,-0.0026148615,7.050000

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.3237442984,0.3211294369,-0.0026148615,4.925000

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.3237442984,0.3211294369,-0.0026148615,6.666667

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.3237442984,0.3211294369,-0.0026148615,4.316667

Quebec,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.3237442984,0.3211294369,-0.0026148615,7.225000

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.100000

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,7.633333

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.150000

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,6.016667

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.383333

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,5.666667

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.979167

Ontario,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,7.020833

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,5.800000

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,5.700000

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,4.866667

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,5.050000

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.091667

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,5.050000

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,4.091667

Manitoba,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,6.075000

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,4.733333

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,7.100000

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,3.983333

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,6.816667

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,3.716667

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,6.375000

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.470833

Saskatchewan,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,7.245833

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,7.400000

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,7.766667

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,6.183333

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,7.500000

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,5.091667

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,7.300000

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,4.587500

Alberta,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,8.225000

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,4.833333

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,6.666667

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,4.083333

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,6.650000

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,3.950000

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,7.016667

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,4.137500

British Columbia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,8.179167

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.200000

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,6.733333

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.216667

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,5.683333

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.308333

