province,year,months_before,cpi_category,cpi_yoy_avg,quarters_before,naics,vacancy_rate_avg,turnout,rejected_rate,valid_rate,electors,total_ballots_cast,valid_ballots,rejected_ballots
New Brunswick,2019,3,Food,156.366667,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,3,Food,156.366667,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,6,All-items,136.816667,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,6,All-items,136.816667,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,6,All-items,136.816667,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,6,Food,156.066667,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,6,Food,156.066667,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,6,Food,156.066667,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,12,All-items,135.775000,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,12,All-items,135.775000,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,12,All-items,135.775000,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,12,Food,154.625000,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,12,Food,154.625000,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,12,Food,154.625000,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,24,All-items,134.766667,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,24,All-items,134.766667,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,24,All-items,134.766667,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,24,Food,152.387500,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,24,Food,152.387500,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,24,Food,152.387500,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2021,3,All-items,142.933333,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,3,All-items,142.933333,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,3,All-items,142.933333,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,3,Food,166.400000,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,3,Food,166.400000,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,3,Food,166.400000,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,6,All-items,142.000000,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,6,All-items,142.000000,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,6,All-items,142.000000,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,6,Food,164.916667,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,6,Food,164.916667,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,6,Food,164.916667,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,12,All-items,139.900000,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,12,All-items,139.900000,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,12,All-items,139.900000,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,12,Food,162.833333,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,12,Food,162.833333,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,12,Food,162.833333,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,24,All-items,138.233333,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,24,All-items,138.233333,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,24,All-items,138.233333,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,24,Food,160.825000,1,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,24,Food,160.825000,2,"Total, all industries",4.600000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

New Brunswick,2021,24,Food,160.825000,4,"Total, all industries",4.075000,0.64352766,0.00773258,0.99226742,622974,400901,397801,3100

Newfoundland and Labrador,2019,3,All-items,139.533333,1,"Total, all industries",2.300000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,3,All-items,139.533333,2,"Total, all industries",2.250000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,3,All-items,139.533333,4,"Total, all industries",2.175000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,3,Food,149.166667,1,"Total, all industries",2.300000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,3,Food,149.166667,2,"Total, all industries",2.250000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,3,Food,149.166667,4,"Total, all industries",2.175000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,6,All-items,139.683333,1,"Total, all industries",2.300000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,6,All-items,139.683333,2,"Total, all industries",2.250000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,6,All-items,139.683333,4,"Total, all industries",2.175000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

Newfoundland and Labrador,2019,6,Food,149.016667,1,"Total, all industries",2.300000,0.58773719,0.01462601,0.98537399,420067,246889,243278,3611

